Episode 1: Seed=931273; Reward = -39; Floor=1
Episode 2: Seed=227317; Reward = -41; Floor=1
Episode 3: Seed=286087; Reward = -43; Floor=1
Episode 4: Seed=874659; Reward = -44; Floor=1
Episode 5: Seed=682760; Reward = -47; Floor=1
Episode 6: Seed=726185; Reward = -39; Floor=1
Episode 7: Seed=159549; Reward = -41; Floor=1
Episode 8: Seed=64099; Reward = -51; Floor=1
Episode 9: Seed=404866; Reward = -45; Floor=1
Episode 10: Seed=237428; Reward = -43; Floor=1
Episode 11: Seed=887439; Reward = -38; Floor=1
Episode 12: Seed=325979; Reward = -44; Floor=1
Episode 13: Seed=181248; Reward = -40; Floor=1
Episode 14: Seed=953839; Reward = -74; Floor=1
Episode 15: Seed=343486; Reward = -58; Floor=1
Episode 16: Seed=873388; Reward = -65; Floor=1
Episode 17: Seed=569163; Reward = -53; Floor=1
Episode 18: Seed=742796; Reward = -26; Floor=1
Episode 19: Seed=519435; Reward = -44; Floor=1
Episode 20: Seed=435116; Reward = -46; Floor=1
Episode 21: Seed=342675; Reward = -75; Floor=1
Episode 22: Seed=972817; Reward = -61; Floor=1
Episode 23: Seed=586508; Reward = -44; Floor=2
Episode 24: Seed=819461; Reward = -64; Floor=1
Episode 25: Seed=492475; Reward = -40; Floor=1
Episode 26: Seed=137904; Reward = -38; Floor=1
Episode 27: Seed=144504; Reward = -64; Floor=1
Episode 28: Seed=507559; Reward = -44; Floor=2
Episode 29: Seed=788540; Reward = -39; Floor=1
Episode 30: Seed=766176; Reward = -65; Floor=1
Episode 31: Seed=905038; Reward = -40; Floor=1
Episode 32: Seed=112295; Reward = -36; Floor=1
Episode 33: Seed=713105; Reward = -21; Floor=2
Episode 34: Seed=46831; Reward = -40; Floor=1
Episode 35: Seed=596357; Reward = -38; Floor=1
Episode 36: Seed=699637; Reward = -35; Floor=1
Episode 37: Seed=443947; Reward = -76; Floor=1
Episode 38: Seed=743993; Reward = -61; Floor=1
Episode 39: Seed=970517; Reward = -43; Floor=1
Episode 40: Seed=28321; Reward = -37; Floor=1
Episode 41: Seed=697638; Reward = -55; Floor=1
Episode 42: Seed=375644; Reward = -38; Floor=1
Episode 43: Seed=498627; Reward = -74; Floor=1
Episode 44: Seed=177776; Reward = -44; Floor=1
Episode 45: Seed=6187; Reward = -41; Floor=1
Episode 46: Seed=641569; Reward = -18; Floor=1
Episode 47: Seed=712011; Reward = -17; Floor=1
Episode 48: Seed=850023; Reward = -25; Floor=2
Episode 49: Seed=285274; Reward = -36; Floor=1
Episode 50: Seed=52116; Reward = -76; Floor=1
Episode 51: Seed=729037; Reward = -9; Floor=1
Episode 52: Seed=858029; Reward = -50; Floor=1
Episode 53: Seed=157555; Reward = 5; Floor=1
Episode 54: Seed=980254; Reward = -34; Floor=1
Episode 55: Seed=325982; Reward = 17; Floor=3
Episode 56: Seed=197670; Reward = 7; Floor=1
Episode 57: Seed=741791; Reward = 0; Floor=1
Episode 58: Seed=610050; Reward = -41; Floor=1
Episode 59: Seed=796487; Reward = -39; Floor=1
Episode 60: Seed=467623; Reward = -16; Floor=1
Episode 61: Seed=742526; Reward = -37; Floor=2
Episode 62: Seed=21117; Reward = 29; Floor=3
Episode 63: Seed=468790; Reward = 44; Floor=3
Episode 64: Seed=25699; Reward = 19; Floor=1
Episode 65: Seed=872739; Reward = -10; Floor=2
Episode 66: Seed=777584; Reward = -40; Floor=1
Episode 67: Seed=877921; Reward = -39; Floor=1
Episode 68: Seed=813648; Reward = -38; Floor=1
Episode 69: Seed=363500; Reward = -38; Floor=1
Episode 70: Seed=146517; Reward = -57; Floor=1
Episode 71: Seed=565440; Reward = -57; Floor=1
Episode 72: Seed=514546; Reward = -38; Floor=1
Episode 73: Seed=524299; Reward = -38; Floor=1
Episode 74: Seed=240013; Reward = -38; Floor=1
Episode 75: Seed=100840; Reward = -38; Floor=1
Episode 76: Seed=320233; Reward = -38; Floor=1
Episode 77: Seed=599349; Reward = -35; Floor=1
Episode 78: Seed=620190; Reward = -48; Floor=1
Episode 79: Seed=557552; Reward = -38; Floor=1
Episode 80: Seed=313547; Reward = -38; Floor=1
Episode 81: Seed=845215; Reward = -37; Floor=1
Episode 82: Seed=375490; Reward = -38; Floor=1
Episode 83: Seed=798444; Reward = -38; Floor=1
Episode 84: Seed=921004; Reward = -38; Floor=1
Episode 85: Seed=339860; Reward = -38; Floor=1
Episode 86: Seed=183323; Reward = -36; Floor=1
Episode 87: Seed=602958; Reward = -37; Floor=1
Episode 88: Seed=42048; Reward = -48; Floor=1
Episode 89: Seed=611985; Reward = -38; Floor=1
Episode 90: Seed=720049; Reward = -36; Floor=1
Episode 91: Seed=479164; Reward = -38; Floor=1
Episode 92: Seed=386533; Reward = -38; Floor=1
Episode 93: Seed=928006; Reward = -38; Floor=1
Episode 94: Seed=398030; Reward = -38; Floor=1
Episode 95: Seed=565654; Reward = -42; Floor=1
Episode 96: Seed=390003; Reward = -75; Floor=1
Episode 97: Seed=790395; Reward = -46; Floor=1
Episode 98: Seed=759996; Reward = -11; Floor=1
Episode 99: Seed=192573; Reward = -7; Floor=1
Episode 100: Seed=899780; Reward = -62; Floor=1
Episode 101: Seed=181946; Reward = -45; Floor=1
Episode 102: Seed=291012; Reward = 11; Floor=2
Episode 103: Seed=500171; Reward = -4; Floor=1
Episode 104: Seed=993462; Reward = 9; Floor=3
Episode 105: Seed=912897; Reward = -9; Floor=2
Episode 106: Seed=801775; Reward = -26; Floor=3
Episode 107: Seed=874993; Reward = -41; Floor=2
Episode 108: Seed=49592; Reward = 64; Floor=3
Episode 109: Seed=570468; Reward = -37; Floor=1
Episode 110: Seed=751909; Reward = 4; Floor=1
Episode 111: Seed=408527; Reward = -43; Floor=1
Episode 112: Seed=187909; Reward = 12; Floor=1
Episode 113: Seed=960186; Reward = -32; Floor=1
Episode 114: Seed=525821; Reward = -24; Floor=1
Episode 115: Seed=692004; Reward = -36; Floor=1
Episode 116: Seed=564024; Reward = 12; Floor=1
Episode 117: Seed=371582; Reward = -27; Floor=1
Episode 118: Seed=189362; Reward = -58; Floor=1
Episode 119: Seed=971894; Reward = 60; Floor=3
Episode 120: Seed=483266; Reward = -40; Floor=1
Episode 121: Seed=942984; Reward = -43; Floor=1
Episode 122: Seed=860308; Reward = -22; Floor=1
Episode 123: Seed=522975; Reward = 159; Floor=6
Episode 124: Seed=83449; Reward = 28; Floor=1
Episode 125: Seed=260342; Reward = -22; Floor=1
Episode 126: Seed=221065; Reward = 261; Floor=8
Episode 127: Seed=384770; Reward = 11; Floor=2
Episode 128: Seed=969213; Reward = -35; Floor=1
Episode 129: Seed=589603; Reward = 125; Floor=4
Episode 130: Seed=424366; Reward = -13; Floor=1
Episode 131: Seed=357430; Reward = 61; Floor=2
Episode 132: Seed=599735; Reward = 98; Floor=3
Episode 133: Seed=522857; Reward = 41; Floor=3
Episode 134: Seed=299502; Reward = -41; Floor=1
Episode 135: Seed=663054; Reward = -40; Floor=1
Episode 136: Seed=400469; Reward = 214; Floor=5
Episode 137: Seed=489805; Reward = 100; Floor=5
Episode 138: Seed=676372; Reward = 109; Floor=4
Episode 139: Seed=663520; Reward = 400; Floor=10
Episode 140: Seed=900560; Reward = 25; Floor=3
Episode 141: Seed=98169; Reward = -35; Floor=1
Episode 142: Seed=339243; Reward = 50; Floor=2
Episode 143: Seed=53334; Reward = 63; Floor=2
Episode 144: Seed=421324; Reward = 347; Floor=9
Episode 145: Seed=786628; Reward = 145; Floor=5
Episode 146: Seed=418909; Reward = 261; Floor=7
Episode 147: Seed=521253; Reward = 89; Floor=3
Episode 148: Seed=78064; Reward = 87; Floor=4
Episode 149: Seed=612979; Reward = 275; Floor=7
Episode 150: Seed=633094; Reward = 371; Floor=9
Episode 151: Seed=902303; Reward = 132; Floor=4
Episode 152: Seed=402705; Reward = 149; Floor=4
Episode 153: Seed=235987; Reward = 188; Floor=6
Episode 154: Seed=669380; Reward = 78; Floor=3
Episode 155: Seed=343608; Reward = 149; Floor=4
Episode 156: Seed=133334; Reward = -15; Floor=1
Episode 157: Seed=955277; Reward = 22; Floor=1
Episode 158: Seed=706845; Reward = 387; Floor=10
Episode 159: Seed=556563; Reward = 251; Floor=6
Episode 160: Seed=143110; Reward = 369; Floor=9
Episode 161: Seed=381618; Reward = 154; Floor=4
Episode 162: Seed=731841; Reward = 182; Floor=5
Episode 163: Seed=651069; Reward = 108; Floor=3
Episode 164: Seed=313848; Reward = 153; Floor=4
Episode 165: Seed=58016; Reward = 80; Floor=2
Episode 166: Seed=8464; Reward = 521; Floor=12
Episode 167: Seed=921224; Reward = 17; Floor=2
Episode 168: Seed=87438; Reward = 162; Floor=5
Episode 169: Seed=948376; Reward = 186; Floor=5
