Episode 1: Seed=778791; Reward = -43; Floor=1
Episode 2: Seed=601019; Reward = -55; Floor=1
Episode 3: Seed=30373; Reward = -48; Floor=1
Episode 4: Seed=946645; Reward = -41; Floor=1
Episode 5: Seed=797388; Reward = -122; Floor=1
Episode 6: Seed=937899; Reward = -52; Floor=1
Episode 7: Seed=112127; Reward = -43; Floor=1
Episode 8: Seed=45411; Reward = -33; Floor=1
Episode 9: Seed=112417; Reward = -46; Floor=1
Episode 10: Seed=93945; Reward = -38; Floor=1
Episode 11: Seed=291448; Reward = -55; Floor=1
Episode 12: Seed=885107; Reward = -33; Floor=2
Episode 13: Seed=553929; Reward = -10; Floor=1
Episode 14: Seed=193426; Reward = 9; Floor=2
Episode 15: Seed=245455; Reward = -43; Floor=1
Episode 16: Seed=95976; Reward = -60; Floor=2
Episode 17: Seed=527244; Reward = -46; Floor=1
Episode 18: Seed=973883; Reward = -25; Floor=1
Episode 19: Seed=896153; Reward = -40; Floor=1
Episode 20: Seed=864382; Reward = -59; Floor=1
Episode 21: Seed=654493; Reward = -40; Floor=1
Episode 22: Seed=753407; Reward = -67; Floor=1
Episode 23: Seed=185585; Reward = -67; Floor=2
Episode 24: Seed=870021; Reward = -47; Floor=1
Episode 25: Seed=871848; Reward = -51; Floor=1
Episode 26: Seed=167164; Reward = -44; Floor=1
Episode 27: Seed=727832; Reward = -18; Floor=1
Episode 28: Seed=616819; Reward = -11; Floor=1
Episode 29: Seed=7844; Reward = -14; Floor=3
Episode 30: Seed=453813; Reward = -46; Floor=1
Episode 31: Seed=732385; Reward = -5; Floor=1
Episode 32: Seed=825838; Reward = -37; Floor=2
Episode 33: Seed=83390; Reward = -39; Floor=1
Episode 34: Seed=438024; Reward = -61; Floor=1
Episode 35: Seed=849490; Reward = -22; Floor=2
Episode 36: Seed=970075; Reward = -40; Floor=1
Episode 37: Seed=168644; Reward = -35; Floor=2
Episode 38: Seed=659189; Reward = -38; Floor=1
Episode 39: Seed=454793; Reward = -38; Floor=1
Episode 40: Seed=519322; Reward = 3; Floor=1
Episode 41: Seed=324247; Reward = -12; Floor=1
Episode 42: Seed=686495; Reward = -23; Floor=2
Episode 43: Seed=47025; Reward = -4; Floor=1
Episode 44: Seed=466434; Reward = -59; Floor=2
Episode 45: Seed=252456; Reward = -36; Floor=1
Episode 46: Seed=260642; Reward = -38; Floor=1
Episode 47: Seed=409640; Reward = 13; Floor=1
Episode 48: Seed=266487; Reward = -31; Floor=2
Episode 49: Seed=209589; Reward = -38; Floor=1
Episode 50: Seed=838554; Reward = -40; Floor=1
Episode 51: Seed=857238; Reward = -56; Floor=1
Episode 52: Seed=761686; Reward = -55; Floor=1
Episode 53: Seed=351594; Reward = 1; Floor=1
Episode 54: Seed=930980; Reward = -52; Floor=1
Episode 55: Seed=162282; Reward = -5; Floor=2
Episode 56: Seed=781683; Reward = -23; Floor=2
Episode 57: Seed=140864; Reward = -67; Floor=1
Episode 58: Seed=355053; Reward = -102; Floor=1
Episode 59: Seed=243007; Reward = -11; Floor=1
Episode 60: Seed=327228; Reward = -28; Floor=2
Episode 61: Seed=305820; Reward = -36; Floor=1
Episode 62: Seed=30213; Reward = -53; Floor=1
Episode 63: Seed=176340; Reward = -37; Floor=1
Episode 64: Seed=984901; Reward = 3; Floor=1
Episode 65: Seed=608686; Reward = -7; Floor=1
Episode 66: Seed=694368; Reward = -36; Floor=2
Episode 67: Seed=367219; Reward = 7; Floor=1
Episode 68: Seed=602165; Reward = -7; Floor=2
Episode 69: Seed=734675; Reward = -50; Floor=1
Episode 70: Seed=477164; Reward = 8; Floor=1
Episode 71: Seed=457873; Reward = -22; Floor=2
Episode 72: Seed=66863; Reward = 44; Floor=2
Episode 73: Seed=789554; Reward = 31; Floor=2
Episode 74: Seed=659898; Reward = 156; Floor=6
Episode 75: Seed=691765; Reward = 3; Floor=2
Episode 76: Seed=393816; Reward = 39; Floor=3
Episode 77: Seed=634905; Reward = -41; Floor=1
Episode 78: Seed=360081; Reward = -28; Floor=2
Episode 79: Seed=96159; Reward = -41; Floor=1
Episode 80: Seed=912614; Reward = -47; Floor=1
Episode 81: Seed=727026; Reward = -3; Floor=2
Episode 82: Seed=115552; Reward = 69; Floor=3
Episode 83: Seed=635090; Reward = -38; Floor=1
Episode 84: Seed=163928; Reward = -37; Floor=1
Episode 85: Seed=787738; Reward = -41; Floor=1
Episode 86: Seed=284241; Reward = -41; Floor=1
Episode 87: Seed=150325; Reward = -39; Floor=1
Episode 88: Seed=949585; Reward = -39; Floor=1
Episode 89: Seed=411926; Reward = -39; Floor=1
Episode 90: Seed=647955; Reward = -39; Floor=1
Episode 91: Seed=643422; Reward = -40; Floor=1
Episode 92: Seed=17161; Reward = -37; Floor=1
Episode 93: Seed=830988; Reward = -50; Floor=1
Episode 94: Seed=598618; Reward = -48; Floor=1
Episode 95: Seed=93713; Reward = -41; Floor=1
Episode 96: Seed=2036; Reward = 17; Floor=1
Episode 97: Seed=732788; Reward = -36; Floor=1
Episode 98: Seed=576014; Reward = -59; Floor=1
Episode 99: Seed=274892; Reward = -50; Floor=1
Episode 100: Seed=632105; Reward = -40; Floor=1
Episode 101: Seed=544044; Reward = -43; Floor=1
Episode 102: Seed=33664; Reward = 68; Floor=3
Episode 103: Seed=804965; Reward = 216; Floor=7
Episode 104: Seed=381275; Reward = 166; Floor=5
Episode 105: Seed=756395; Reward = 364; Floor=10
Episode 106: Seed=135929; Reward = -42; Floor=1
Episode 107: Seed=342575; Reward = 211; Floor=6
Episode 108: Seed=689230; Reward = 97; Floor=3
Episode 109: Seed=103764; Reward = 18; Floor=1
Episode 110: Seed=86391; Reward = -28; Floor=1
Episode 111: Seed=798279; Reward = 17; Floor=2
Episode 112: Seed=29238; Reward = 8; Floor=1
Episode 113: Seed=793068; Reward = 237; Floor=7
Episode 114: Seed=158441; Reward = 232; Floor=6
Episode 115: Seed=238005; Reward = 24; Floor=1
Episode 116: Seed=453509; Reward = 74; Floor=4
Episode 117: Seed=875663; Reward = -21; Floor=1
Episode 118: Seed=272790; Reward = 104; Floor=3
Episode 119: Seed=822722; Reward = 167; Floor=4
Episode 120: Seed=865281; Reward = 236; Floor=6
Episode 121: Seed=488243; Reward = 91; Floor=3
Episode 122: Seed=222882; Reward = 113; Floor=3
Episode 123: Seed=42805; Reward = 303; Floor=7
Episode 124: Seed=245350; Reward = 317; Floor=8
Episode 125: Seed=89523; Reward = 424; Floor=11
Episode 126: Seed=985629; Reward = 122; Floor=3
Episode 127: Seed=613109; Reward = 174; Floor=4
Episode 128: Seed=603854; Reward = 118; Floor=3
Episode 129: Seed=121320; Reward = 232; Floor=6
Episode 130: Seed=113252; Reward = 308; Floor=7
Episode 131: Seed=582596; Reward = 414; Floor=9
Episode 132: Seed=113353; Reward = 106; Floor=3
Episode 133: Seed=264203; Reward = 247; Floor=6
Episode 134: Seed=522929; Reward = 255; Floor=6
Episode 135: Seed=907894; Reward = 61; Floor=2
Episode 136: Seed=298024; Reward = 81; Floor=2
Episode 137: Seed=793287; Reward = 117; Floor=3
Episode 138: Seed=292612; Reward = 95; Floor=4
Episode 139: Seed=218967; Reward = -35; Floor=1
Episode 140: Seed=156548; Reward = -38; Floor=1
Episode 141: Seed=159129; Reward = -41; Floor=1
Episode 142: Seed=225089; Reward = -36; Floor=1
Episode 143: Seed=261573; Reward = -36; Floor=1
Episode 144: Seed=848669; Reward = -38; Floor=1
Episode 145: Seed=695010; Reward = -36; Floor=1
Episode 146: Seed=358967; Reward = 96; Floor=4
Episode 147: Seed=81100; Reward = 110; Floor=4
Episode 148: Seed=120272; Reward = 86; Floor=2
Episode 149: Seed=186646; Reward = 66; Floor=4
Episode 150: Seed=652865; Reward = 10; Floor=2
Episode 151: Seed=947991; Reward = 107; Floor=3
Episode 152: Seed=483985; Reward = 74; Floor=2
Episode 153: Seed=310565; Reward = 228; Floor=5
Episode 154: Seed=449578; Reward = 10; Floor=2
Episode 155: Seed=165166; Reward = -21; Floor=1
Episode 156: Seed=592101; Reward = 166; Floor=4
Episode 157: Seed=908566; Reward = 439; Floor=10
Episode 158: Seed=623282; Reward = 97; Floor=3
Episode 159: Seed=282213; Reward = 335; Floor=8
Episode 160: Seed=42337; Reward = 215; Floor=5
Episode 161: Seed=523562; Reward = 117; Floor=3
Episode 162: Seed=381468; Reward = 185; Floor=4
