Episode 1: Seed=827751; Reward = -72
Episode 2: Seed=942620; Reward = -102
Episode 3: Seed=782162; Reward = -135
Episode 4: Seed=126431; Reward = -268
Episode 5: Seed=102491; Reward = -208
Episode 6: Seed=90268; Reward = -272
Episode 7: Seed=21525; Reward = -55
Episode 8: Seed=152179; Reward = -229
Episode 9: Seed=300725; Reward = -272
Episode 10: Seed=470124; Reward = -394
Episode 11: Seed=767165; Reward = -484
Episode 12: Seed=193117; Reward = -500
Episode 13: Seed=890984; Reward = -403
Episode 14: Seed=917325; Reward = 8
Episode 15: Seed=923337; Reward = -346
Episode 16: Seed=637211; Reward = 10
Episode 17: Seed=938263; Reward = -444
Episode 18: Seed=589463; Reward = -97
Episode 19: Seed=262238; Reward = -461
Episode 20: Seed=999095; Reward = -203
Episode 21: Seed=478783; Reward = -643
Episode 22: Seed=853368; Reward = -468
Episode 23: Seed=480962; Reward = 9
Episode 24: Seed=161752; Reward = -64
Episode 25: Seed=359592; Reward = 10
Episode 26: Seed=50173; Reward = 10
Episode 27: Seed=430423; Reward = 10
Episode 28: Seed=936522; Reward = 10
Episode 29: Seed=593761; Reward = 10
Episode 30: Seed=345888; Reward = 10
Episode 31: Seed=492342; Reward = 10
Episode 32: Seed=128007; Reward = 10
Episode 33: Seed=613553; Reward = 9
Episode 34: Seed=312977; Reward = 10
Episode 35: Seed=757346; Reward = -9
Episode 36: Seed=638677; Reward = -506
Episode 37: Seed=74633; Reward = -308
Episode 38: Seed=850357; Reward = 7
Episode 39: Seed=329642; Reward = -80
Episode 40: Seed=873435; Reward = 4
Episode 41: Seed=790046; Reward = -273
Episode 42: Seed=583126; Reward = -58
Episode 43: Seed=797178; Reward = -130
Episode 44: Seed=512725; Reward = -228
Episode 45: Seed=376675; Reward = -12
Episode 46: Seed=90872; Reward = 10
Episode 47: Seed=241025; Reward = -4
Episode 48: Seed=447624; Reward = 10
Episode 49: Seed=763851; Reward = -9
Episode 50: Seed=152530; Reward = 10
Episode 51: Seed=563953; Reward = 10
Episode 52: Seed=133789; Reward = 10
Episode 53: Seed=187216; Reward = 7
Episode 54: Seed=523913; Reward = -407
Episode 55: Seed=47429; Reward = 10
Episode 56: Seed=871616; Reward = 10
Episode 57: Seed=844480; Reward = 7
Episode 58: Seed=469752; Reward = 10
Episode 59: Seed=705225; Reward = 10
Episode 60: Seed=756722; Reward = -12
Episode 61: Seed=602280; Reward = 10
Episode 62: Seed=325468; Reward = 10
Episode 63: Seed=49726; Reward = 10
Episode 64: Seed=596344; Reward = 10
Episode 65: Seed=496959; Reward = 10
Episode 66: Seed=667385; Reward = 10
Episode 67: Seed=481388; Reward = 10
Episode 68: Seed=60683; Reward = 10
Episode 69: Seed=616649; Reward = 9
Episode 70: Seed=370942; Reward = 10
Episode 71: Seed=4864; Reward = 0
Episode 72: Seed=564378; Reward = 10
Episode 73: Seed=60077; Reward = 10
Episode 74: Seed=227991; Reward = 8
Episode 75: Seed=1329; Reward = -78
Episode 76: Seed=829055; Reward = 10
Episode 77: Seed=281429; Reward = 10
Episode 78: Seed=92777; Reward = -242
Episode 79: Seed=463533; Reward = 9
Episode 80: Seed=621189; Reward = 7
Episode 81: Seed=470683; Reward = -71
Episode 82: Seed=851956; Reward = 10
Episode 83: Seed=607816; Reward = 10
Episode 84: Seed=444666; Reward = 9
