Episode 1: Seed=203440; Reward = -33
Episode 2: Seed=776758; Reward = -22
Episode 3: Seed=412471; Reward = -74
Episode 4: Seed=234777; Reward = -10
Episode 5: Seed=904265; Reward = -18
Episode 6: Seed=426073; Reward = -20
Episode 7: Seed=321309; Reward = -7
Episode 8: Seed=820660; Reward = 3
Episode 9: Seed=885123; Reward = 15
Episode 10: Seed=592236; Reward = 11
Episode 11: Seed=211527; Reward = 20
Episode 12: Seed=934784; Reward = 23
Episode 13: Seed=728616; Reward = 41
Episode 14: Seed=908907; Reward = 21
Episode 15: Seed=502758; Reward = 29
Episode 16: Seed=348584; Reward = 28
Episode 17: Seed=407745; Reward = -5
Episode 18: Seed=903956; Reward = 10
Episode 19: Seed=801927; Reward = 9
Episode 20: Seed=404107; Reward = -12
Episode 21: Seed=806663; Reward = 12
Episode 22: Seed=120802; Reward = 35
Episode 23: Seed=514130; Reward = 10
Episode 24: Seed=733600; Reward = 28
Episode 25: Seed=123966; Reward = 39
Episode 26: Seed=213670; Reward = 19
Episode 27: Seed=449965; Reward = 24
Episode 28: Seed=543536; Reward = 15
Episode 29: Seed=301456; Reward = 29
Episode 30: Seed=339192; Reward = 29
Episode 31: Seed=360047; Reward = 50
Episode 32: Seed=357071; Reward = 0
Episode 33: Seed=126205; Reward = 0
Episode 34: Seed=237153; Reward = 28
Episode 35: Seed=607639; Reward = 22
Episode 36: Seed=984898; Reward = 10
Episode 37: Seed=245087; Reward = 12
Episode 38: Seed=341953; Reward = 7
Episode 39: Seed=185355; Reward = 21
Episode 40: Seed=647293; Reward = 10
Episode 41: Seed=327576; Reward = 34
Episode 42: Seed=595815; Reward = 31
Episode 43: Seed=24695; Reward = 35
Episode 44: Seed=909475; Reward = 9
Episode 45: Seed=301330; Reward = 30
Episode 46: Seed=992570; Reward = 30
Episode 47: Seed=250260; Reward = 33
Episode 48: Seed=619822; Reward = 22
Episode 49: Seed=966979; Reward = 16
Episode 50: Seed=115625; Reward = 29
Episode 51: Seed=150214; Reward = 13
Episode 52: Seed=649640; Reward = -20
Episode 53: Seed=30596; Reward = -190
Episode 54: Seed=484282; Reward = 13
Episode 55: Seed=616223; Reward = 29
Episode 56: Seed=501010; Reward = 11
Episode 57: Seed=786693; Reward = 16
Episode 58: Seed=428959; Reward = 30
Episode 59: Seed=701488; Reward = 34
Episode 60: Seed=344054; Reward = 11
Episode 61: Seed=169622; Reward = -27
Episode 62: Seed=742800; Reward = 18
Episode 63: Seed=489626; Reward = 27
Episode 64: Seed=219320; Reward = 5
Episode 65: Seed=968106; Reward = 20
Episode 66: Seed=98298; Reward = 24
Episode 67: Seed=783935; Reward = 35
Episode 68: Seed=64056; Reward = 0
Episode 69: Seed=384766; Reward = 1
Episode 70: Seed=233834; Reward = 0
Episode 71: Seed=141946; Reward = -10
Episode 72: Seed=974251; Reward = 9
Episode 73: Seed=443679; Reward = -1
Episode 74: Seed=674951; Reward = -23
Episode 75: Seed=250246; Reward = 19
Episode 76: Seed=361724; Reward = -33
Episode 77: Seed=211301; Reward = -13
Episode 78: Seed=720613; Reward = 19
Episode 79: Seed=268011; Reward = 18
Episode 80: Seed=326098; Reward = 21
Episode 81: Seed=699132; Reward = 26
Episode 82: Seed=215631; Reward = 75
Episode 83: Seed=216614; Reward = 12
Episode 84: Seed=928075; Reward = -3
Episode 85: Seed=735560; Reward = 12
Episode 86: Seed=831848; Reward = 56
Episode 87: Seed=149667; Reward = 22
Episode 88: Seed=818719; Reward = 28
Episode 89: Seed=769523; Reward = 44
Episode 90: Seed=213718; Reward = 50
Episode 91: Seed=922969; Reward = 16
Episode 92: Seed=558058; Reward = 0
Episode 93: Seed=576879; Reward = 28
Episode 94: Seed=745835; Reward = 37
Episode 95: Seed=126870; Reward = 26
Episode 96: Seed=189624; Reward = 29
Episode 97: Seed=521427; Reward = -5
Episode 98: Seed=601470; Reward = 89
Episode 99: Seed=615239; Reward = 9
Episode 100: Seed=860717; Reward = 25
Episode 101: Seed=788715; Reward = -102
Episode 102: Seed=130383; Reward = 60
Episode 103: Seed=455069; Reward = 11
Episode 104: Seed=953894; Reward = 16
Episode 105: Seed=780584; Reward = 16
Episode 106: Seed=613389; Reward = -29
Episode 107: Seed=108267; Reward = 8
Episode 108: Seed=59802; Reward = 32
Episode 109: Seed=353831; Reward = 27
Episode 110: Seed=261171; Reward = 55
Episode 111: Seed=355908; Reward = 40
Episode 112: Seed=963860; Reward = 30
Episode 113: Seed=893013; Reward = 90
Episode 114: Seed=152366; Reward = 66
Episode 115: Seed=712019; Reward = 29
Episode 116: Seed=151128; Reward = 13
Episode 117: Seed=72567; Reward = 37
Episode 118: Seed=865413; Reward = 5
Episode 119: Seed=319336; Reward = 29
Episode 120: Seed=536058; Reward = 39
Episode 121: Seed=527711; Reward = 61
Episode 122: Seed=521240; Reward = 27
Episode 123: Seed=798647; Reward = 40
Episode 124: Seed=695101; Reward = 9
Episode 125: Seed=261481; Reward = 61
Episode 126: Seed=582259; Reward = -8
Episode 127: Seed=167010; Reward = 12
Episode 128: Seed=530807; Reward = 0
Episode 129: Seed=18746; Reward = 29
Episode 130: Seed=710417; Reward = 59
Episode 131: Seed=150018; Reward = 40
Episode 132: Seed=609250; Reward = 18
Episode 133: Seed=972879; Reward = 73
Episode 134: Seed=956422; Reward = 28
Episode 135: Seed=378086; Reward = 80
Episode 136: Seed=817961; Reward = 19
Episode 137: Seed=224789; Reward = 8
Episode 138: Seed=525405; Reward = 40
Episode 139: Seed=776666; Reward = 23
Episode 140: Seed=761250; Reward = 59
Episode 141: Seed=663556; Reward = 60
Episode 142: Seed=409625; Reward = -1
Episode 143: Seed=833427; Reward = 1
Episode 144: Seed=696947; Reward = 32
Episode 145: Seed=946166; Reward = 34
Episode 146: Seed=613846; Reward = -2
Episode 147: Seed=190970; Reward = 19
Episode 148: Seed=433398; Reward = 29
Episode 149: Seed=625419; Reward = 27
Episode 150: Seed=465550; Reward = 69
Episode 151: Seed=879078; Reward = 47
Episode 152: Seed=912072; Reward = 31
Episode 153: Seed=100919; Reward = 30
Episode 154: Seed=63168; Reward = 37
Episode 155: Seed=651750; Reward = 10
Episode 156: Seed=561340; Reward = -3
Episode 157: Seed=933416; Reward = 30
Episode 158: Seed=976835; Reward = 39
Episode 159: Seed=555609; Reward = 23
Episode 160: Seed=654258; Reward = 16
Episode 161: Seed=948841; Reward = -8
Episode 162: Seed=198995; Reward = 29
Episode 163: Seed=625184; Reward = 9
Episode 164: Seed=743975; Reward = 9
Episode 165: Seed=287804; Reward = -45
Episode 166: Seed=316917; Reward = 0
Episode 167: Seed=766111; Reward = 19
Episode 168: Seed=103972; Reward = 13
Episode 169: Seed=954643; Reward = 29
Episode 170: Seed=647840; Reward = 20
Episode 171: Seed=569109; Reward = 20
Episode 172: Seed=507073; Reward = -101
Episode 173: Seed=326633; Reward = -34
Episode 174: Seed=25219; Reward = -5
Episode 175: Seed=690477; Reward = 21
Episode 176: Seed=964684; Reward = 16
Episode 177: Seed=38818; Reward = 20
Episode 178: Seed=658394; Reward = 0
Episode 179: Seed=962097; Reward = -4
Episode 180: Seed=78237; Reward = -12
Episode 181: Seed=620441; Reward = 56
Episode 182: Seed=315009; Reward = 10
Episode 183: Seed=570916; Reward = -3
Episode 184: Seed=86915; Reward = -8
Episode 185: Seed=817305; Reward = 0
Episode 186: Seed=26766; Reward = -33
Episode 187: Seed=211046; Reward = 0
Episode 188: Seed=342120; Reward = 0
Episode 189: Seed=288405; Reward = -10
Episode 190: Seed=809685; Reward = -15
Episode 191: Seed=156420; Reward = -15
Episode 192: Seed=728236; Reward = 6
Episode 193: Seed=733281; Reward = -1
Episode 194: Seed=406024; Reward = 0
Episode 195: Seed=400474; Reward = 9
