Episode 1: Seed=477949; Reward = -47; Floor=1
Episode 2: Seed=414807; Reward = -38; Floor=1
Episode 3: Seed=650926; Reward = -42; Floor=1
Episode 4: Seed=32421; Reward = -52; Floor=1
Episode 5: Seed=64300; Reward = -32; Floor=1
Episode 6: Seed=29615; Reward = -44; Floor=1
Episode 7: Seed=924052; Reward = -18; Floor=2
Episode 8: Seed=155408; Reward = -63; Floor=1
Episode 9: Seed=413083; Reward = -35; Floor=1
Episode 10: Seed=182855; Reward = 38; Floor=4
Episode 11: Seed=638075; Reward = 25; Floor=3
Episode 12: Seed=639733; Reward = 59; Floor=3
Episode 13: Seed=198338; Reward = -18; Floor=1
Episode 14: Seed=515759; Reward = -31; Floor=1
Episode 15: Seed=436445; Reward = -1; Floor=2
Episode 16: Seed=495488; Reward = 78; Floor=4
Episode 17: Seed=377936; Reward = 76; Floor=3
Episode 18: Seed=20530; Reward = 145; Floor=4
Episode 19: Seed=978333; Reward = 129; Floor=5
Episode 20: Seed=403260; Reward = 296; Floor=8
Episode 21: Seed=213824; Reward = -40; Floor=1
Episode 22: Seed=701655; Reward = 114; Floor=3
Episode 23: Seed=786439; Reward = 179; Floor=5
Episode 24: Seed=754763; Reward = 286; Floor=8
Episode 25: Seed=942791; Reward = -14; Floor=1
Episode 26: Seed=113502; Reward = -18; Floor=1
Episode 27: Seed=334731; Reward = 101; Floor=4
Episode 28: Seed=942913; Reward = 95; Floor=3
Episode 29: Seed=933561; Reward = 179; Floor=5
Episode 30: Seed=59094; Reward = 165; Floor=5
Episode 31: Seed=641148; Reward = 52; Floor=3
Episode 32: Seed=715266; Reward = 23; Floor=2
Episode 33: Seed=812016; Reward = 125; Floor=4
Episode 34: Seed=363737; Reward = 50; Floor=4
Episode 35: Seed=566036; Reward = 55; Floor=2
Episode 36: Seed=217727; Reward = 78; Floor=3
Episode 37: Seed=362484; Reward = 207; Floor=5
Episode 38: Seed=412241; Reward = 10; Floor=2
Episode 39: Seed=877688; Reward = -21; Floor=1
Episode 40: Seed=236831; Reward = 220; Floor=6
Episode 41: Seed=5369; Reward = 18; Floor=2
Episode 42: Seed=765432; Reward = 11; Floor=2
Episode 43: Seed=958066; Reward = 183; Floor=5
Episode 44: Seed=542245; Reward = 265; Floor=7
Episode 45: Seed=212740; Reward = 104; Floor=3
Episode 46: Seed=978931; Reward = -26; Floor=1
Episode 47: Seed=900849; Reward = 197; Floor=5
Episode 48: Seed=456988; Reward = 108; Floor=3
Episode 49: Seed=191856; Reward = 93; Floor=4
Episode 50: Seed=403195; Reward = -34; Floor=1
Episode 51: Seed=544819; Reward = 10; Floor=2
Episode 52: Seed=493206; Reward = 22; Floor=1
Episode 53: Seed=492364; Reward = 52; Floor=2
Episode 54: Seed=798530; Reward = 246; Floor=7
Episode 55: Seed=543488; Reward = 213; Floor=6
Episode 56: Seed=660116; Reward = 344; Floor=10
Episode 57: Seed=923490; Reward = 131; Floor=4
Episode 58: Seed=659348; Reward = -10; Floor=1
Episode 59: Seed=101410; Reward = 241; Floor=7
Episode 60: Seed=927409; Reward = 34; Floor=1
Episode 61: Seed=205043; Reward = 91; Floor=3
Episode 62: Seed=120161; Reward = 95; Floor=3
Episode 63: Seed=108095; Reward = 213; Floor=6
Episode 64: Seed=377760; Reward = 162; Floor=5
Episode 65: Seed=348299; Reward = 209; Floor=6
Episode 66: Seed=529199; Reward = 65; Floor=3
Episode 67: Seed=458172; Reward = 23; Floor=1
Episode 68: Seed=246976; Reward = 131; Floor=4
Episode 69: Seed=6139; Reward = 401; Floor=12
Episode 70: Seed=698607; Reward = 4; Floor=2
Episode 71: Seed=171527; Reward = 269; Floor=8
Episode 72: Seed=775255; Reward = 189; Floor=6
Episode 73: Seed=684161; Reward = 299; Floor=9
Episode 74: Seed=91675; Reward = 192; Floor=6
Episode 75: Seed=831562; Reward = 145; Floor=4
Episode 76: Seed=790261; Reward = 374; Floor=10
Episode 77: Seed=592710; Reward = 255; Floor=8
Episode 78: Seed=984074; Reward = 50; Floor=2
Episode 79: Seed=439853; Reward = 309; Floor=8
Episode 80: Seed=490600; Reward = 114; Floor=3
Episode 81: Seed=556822; Reward = 48; Floor=2
Episode 82: Seed=766118; Reward = 169; Floor=5
Episode 83: Seed=240502; Reward = 114; Floor=4
Episode 84: Seed=239610; Reward = 134; Floor=4
Episode 85: Seed=828670; Reward = 222; Floor=7
Episode 86: Seed=80807; Reward = 161; Floor=5
Episode 87: Seed=930947; Reward = 292; Floor=10
Episode 88: Seed=959389; Reward = 163; Floor=5
Episode 89: Seed=347019; Reward = 171; Floor=4
Episode 90: Seed=917915; Reward = 171; Floor=4
Episode 91: Seed=717413; Reward = 129; Floor=5
Episode 92: Seed=865222; Reward = 53; Floor=3
Episode 93: Seed=436610; Reward = 297; Floor=9
Episode 94: Seed=844026; Reward = 30; Floor=2
Episode 95: Seed=489184; Reward = 177; Floor=6
Episode 96: Seed=432424; Reward = 76; Floor=4
Episode 97: Seed=111261; Reward = 181; Floor=5
Episode 98: Seed=451547; Reward = 71; Floor=3
Episode 99: Seed=144392; Reward = 338; Floor=11
Episode 100: Seed=598977; Reward = 172; Floor=5
Episode 101: Seed=233825; Reward = 41; Floor=2
Episode 102: Seed=671590; Reward = 198; Floor=6
Episode 103: Seed=820772; Reward = 150; Floor=5
Episode 104: Seed=110965; Reward = 36; Floor=3
Episode 105: Seed=358228; Reward = 183; Floor=5
Episode 106: Seed=232252; Reward = 199; Floor=6
Episode 107: Seed=352945; Reward = 149; Floor=5
Episode 108: Seed=318006; Reward = 172; Floor=6
Episode 109: Seed=127234; Reward = 139; Floor=5
Episode 110: Seed=892365; Reward = 236; Floor=8
Episode 111: Seed=795087; Reward = 188; Floor=5
Episode 112: Seed=259368; Reward = 55; Floor=2
Episode 113: Seed=245039; Reward = 162; Floor=6
Episode 114: Seed=679024; Reward = 88; Floor=3
Episode 115: Seed=831390; Reward = 203; Floor=6
Episode 116: Seed=204137; Reward = 144; Floor=4
Episode 117: Seed=214810; Reward = 287; Floor=8
Episode 118: Seed=245519; Reward = -21; Floor=1
Episode 119: Seed=894064; Reward = 81; Floor=4
Episode 120: Seed=553810; Reward = 222; Floor=6
Episode 121: Seed=15160; Reward = 307; Floor=9
Episode 122: Seed=578755; Reward = 371; Floor=10
