Episode 1: Seed=72886; Reward = -41; Floor=1
Episode 2: Seed=276462; Reward = -40; Floor=1
Episode 3: Seed=865934; Reward = -38; Floor=1
Episode 4: Seed=408246; Reward = -58; Floor=1
Episode 5: Seed=457564; Reward = -79; Floor=1
Episode 6: Seed=165516; Reward = 46; Floor=4
Episode 7: Seed=582824; Reward = -38; Floor=1
Episode 8: Seed=398045; Reward = 3; Floor=2
Episode 9: Seed=293860; Reward = -35; Floor=1
Episode 10: Seed=706692; Reward = -52; Floor=1
Episode 11: Seed=581751; Reward = 13; Floor=2
Episode 12: Seed=16062; Reward = -44; Floor=1
Episode 13: Seed=193603; Reward = 11; Floor=2
Episode 14: Seed=795278; Reward = -40; Floor=1
Episode 15: Seed=514239; Reward = -34; Floor=1
Episode 16: Seed=761906; Reward = -26; Floor=1
Episode 17: Seed=136997; Reward = 130; Floor=5
Episode 18: Seed=48465; Reward = -29; Floor=1
Episode 19: Seed=357434; Reward = 26; Floor=3
Episode 20: Seed=413883; Reward = 30; Floor=1
Episode 21: Seed=366140; Reward = -24; Floor=1
Episode 22: Seed=939872; Reward = -7; Floor=1
Episode 23: Seed=732088; Reward = 193; Floor=6
Episode 24: Seed=184647; Reward = 24; Floor=1
Episode 25: Seed=399996; Reward = 7; Floor=2
Episode 26: Seed=83796; Reward = 44; Floor=3
Episode 27: Seed=981413; Reward = 23; Floor=2
Episode 28: Seed=381335; Reward = -38; Floor=1
Episode 29: Seed=485936; Reward = 58; Floor=3
Episode 30: Seed=961793; Reward = 12; Floor=2
Episode 31: Seed=487345; Reward = 132; Floor=4
Episode 32: Seed=35139; Reward = 79; Floor=3
Episode 33: Seed=8275; Reward = 213; Floor=6
Episode 34: Seed=670620; Reward = 132; Floor=4
Episode 35: Seed=837478; Reward = 186; Floor=7
Episode 36: Seed=936273; Reward = 339; Floor=10
Episode 37: Seed=810200; Reward = 142; Floor=4
Episode 38: Seed=12253; Reward = 105; Floor=3
Episode 39: Seed=216930; Reward = 77; Floor=4
Episode 40: Seed=190910; Reward = -28; Floor=1
Episode 41: Seed=674267; Reward = -21; Floor=1
Episode 42: Seed=83094; Reward = 173; Floor=5
Episode 43: Seed=643196; Reward = 227; Floor=7
Episode 44: Seed=883545; Reward = 25; Floor=2
Episode 45: Seed=805590; Reward = 305; Floor=9
Episode 46: Seed=840572; Reward = 234; Floor=8
Episode 47: Seed=337036; Reward = 58; Floor=2
Episode 48: Seed=990623; Reward = 196; Floor=6
Episode 49: Seed=763632; Reward = 101; Floor=3
Episode 50: Seed=140355; Reward = 370; Floor=10
Episode 51: Seed=164780; Reward = 69; Floor=2
Episode 52: Seed=579952; Reward = 259; Floor=7
Episode 53: Seed=99923; Reward = 171; Floor=5
Episode 54: Seed=412160; Reward = 279; Floor=8
Episode 55: Seed=925016; Reward = 402; Floor=10
Episode 56: Seed=235595; Reward = 176; Floor=6
Episode 57: Seed=937436; Reward = 107; Floor=3
Episode 58: Seed=498104; Reward = 322; Floor=8
Episode 59: Seed=417077; Reward = 175; Floor=5
Episode 60: Seed=69384; Reward = 278; Floor=7
Episode 61: Seed=523759; Reward = 231; Floor=6
Episode 62: Seed=596720; Reward = 364; Floor=10
Episode 63: Seed=175772; Reward = 172; Floor=5
Episode 64: Seed=422152; Reward = 93; Floor=4
Episode 65: Seed=364582; Reward = 71; Floor=2
Episode 66: Seed=763017; Reward = 16; Floor=1
Episode 67: Seed=537180; Reward = 76; Floor=3
Episode 68: Seed=452427; Reward = 113; Floor=4
Episode 69: Seed=393981; Reward = 171; Floor=5
Episode 70: Seed=116041; Reward = 54; Floor=2
Episode 71: Seed=572358; Reward = 179; Floor=5
Episode 72: Seed=512347; Reward = 258; Floor=7
Episode 73: Seed=948893; Reward = 90; Floor=4
Episode 74: Seed=570695; Reward = 99; Floor=4
Episode 75: Seed=847801; Reward = 215; Floor=6
Episode 76: Seed=300301; Reward = 85; Floor=3
Episode 77: Seed=225289; Reward = 442; Floor=11
Episode 78: Seed=464449; Reward = 238; Floor=6
Episode 79: Seed=940787; Reward = 391; Floor=11
Episode 80: Seed=116522; Reward = 96; Floor=5
Episode 81: Seed=99279; Reward = -30; Floor=1
Episode 82: Seed=427387; Reward = 138; Floor=5
Episode 83: Seed=850138; Reward = 175; Floor=5
Episode 84: Seed=714542; Reward = 338; Floor=10
Episode 85: Seed=206397; Reward = 162; Floor=4
Episode 86: Seed=117201; Reward = 56; Floor=3
Episode 87: Seed=85034; Reward = 226; Floor=6
