Run 1: Seed=48224; Reward = 3000
Run 2: Seed=934211; Reward = 6000
Run 3: Seed=759161; Reward = 19000
Run 4: Seed=755021; Reward = 4000
Run 5: Seed=919205; Reward = 18000
Run 6: Seed=885835; Reward = 4000
Run 7: Seed=417228; Reward = 8000
Run 8: Seed=233860; Reward = 2000
Run 9: Seed=89196; Reward = 9000
Run 10: Seed=227540; Reward = 5000
Run 11: Seed=295656; Reward = 10000
Run 12: Seed=533964; Reward = 3000
Run 13: Seed=506023; Reward = 4000
Run 14: Seed=424801; Reward = 5000
Run 15: Seed=320916; Reward = 2000
Run 16: Seed=399109; Reward = 12000
Run 17: Seed=300222; Reward = 11000
Run 18: Seed=616794; Reward = 4000
Run 19: Seed=734095; Reward = 4000
Run 20: Seed=926746; Reward = 6000
Run 21: Seed=464815; Reward = 4000
Run 22: Seed=250259; Reward = 12000
Run 23: Seed=157047; Reward = 2000
Run 24: Seed=672844; Reward = 10000
Run 25: Seed=91846; Reward = 3000
Run 26: Seed=428593; Reward = 10000
Run 27: Seed=113624; Reward = 9000
Run 28: Seed=284802; Reward = 6000
Run 29: Seed=253601; Reward = 3000
Run 30: Seed=958860; Reward = 7000
Run 31: Seed=314704; Reward = 5000
Run 32: Seed=215891; Reward = 13000
Run 33: Seed=541237; Reward = 11000
Run 34: Seed=947561; Reward = 11000
Run 35: Seed=404506; Reward = 3000
Run 36: Seed=25947; Reward = 4000
Run 37: Seed=816176; Reward = 1000
Run 38: Seed=721146; Reward = 8000
Run 39: Seed=849634; Reward = 4000
Run 40: Seed=444547; Reward = 10000
Run 41: Seed=153253; Reward = 3000
Run 42: Seed=726014; Reward = 7000
Run 43: Seed=249165; Reward = 8000
Run 44: Seed=997392; Reward = 5000
Run 45: Seed=129737; Reward = 14000
Run 46: Seed=586568; Reward = 7000
Run 47: Seed=460994; Reward = 6000
Run 48: Seed=690235; Reward = 13000
Run 49: Seed=74515; Reward = 9000
Run 50: Seed=412312; Reward = 6000
Run 51: Seed=272381; Reward = 5000
Run 52: Seed=286088; Reward = 11000
Run 53: Seed=773576; Reward = 1000
Run 54: Seed=142425; Reward = 15000
Run 55: Seed=170248; Reward = 2000
Run 56: Seed=513480; Reward = 4000
Run 57: Seed=760894; Reward = 7000
Run 58: Seed=652491; Reward = 3000
Run 59: Seed=439874; Reward = 5000
Run 60: Seed=78638; Reward = 4000
Run 61: Seed=639872; Reward = 9000
Run 62: Seed=484671; Reward = 3000
Run 63: Seed=763694; Reward = 24000
Run 64: Seed=814315; Reward = 2000
Run 65: Seed=640880; Reward = 6000
Run 66: Seed=440626; Reward = 4000
Run 67: Seed=60663; Reward = 6000
Run 68: Seed=473526; Reward = 5000
Run 69: Seed=745848; Reward = 3000
Run 70: Seed=190761; Reward = 7000
Run 71: Seed=956752; Reward = 2000
Run 72: Seed=283013; Reward = 14000
Run 73: Seed=810814; Reward = 13000
Run 74: Seed=405361; Reward = 10000
Run 75: Seed=51951; Reward = 3000
Run 76: Seed=551551; Reward = 1000
Run 77: Seed=261477; Reward = 11000
Run 78: Seed=493012; Reward = 4000
Run 79: Seed=639800; Reward = 4000
Run 80: Seed=532272; Reward = 7000
Run 81: Seed=172919; Reward = 12000
Run 82: Seed=709643; Reward = 7000
Run 83: Seed=646374; Reward = 4000
Run 84: Seed=244060; Reward = 14000
Run 85: Seed=350198; Reward = 4000
Run 86: Seed=609997; Reward = 5000
Run 87: Seed=433378; Reward = 8000
Run 88: Seed=360094; Reward = 5000
Run 89: Seed=306081; Reward = 1000
Run 90: Seed=768093; Reward = 6000
Run 91: Seed=712661; Reward = 3000
Run 92: Seed=987906; Reward = 4000
Run 93: Seed=732940; Reward = 6000
Run 94: Seed=389525; Reward = 5000
Run 95: Seed=440830; Reward = 5000
Run 96: Seed=562583; Reward = 6000
Run 97: Seed=581281; Reward = 9000
Run 98: Seed=253627; Reward = 3000
Run 99: Seed=290727; Reward = 6000
Run 100: Seed=793517; Reward = 3000
