Run 1: Seed=934777; Reward = 308; Floor=7
Run 2: Seed=451262; Reward = 73; Floor=2
Run 3: Seed=124114; Reward = 334; Floor=8
Run 4: Seed=4743; Reward = 184; Floor=4
Run 5: Seed=172268; Reward = 104; Floor=3
Run 6: Seed=306871; Reward = 174; Floor=4
Run 7: Seed=243445; Reward = 261; Floor=6
Run 8: Seed=764139; Reward = 301; Floor=7
Run 9: Seed=17640; Reward = 84; Floor=2
Run 10: Seed=815761; Reward = 73; Floor=2
Run 11: Seed=884284; Reward = 198; Floor=5
Run 12: Seed=711030; Reward = 118; Floor=3
Run 13: Seed=711427; Reward = 80; Floor=2
Run 14: Seed=112759; Reward = 833; Floor=18
Run 15: Seed=765896; Reward = 147; Floor=4
Run 16: Seed=768963; Reward = 225; Floor=6
Run 17: Seed=429497; Reward = 30; Floor=1
Run 18: Seed=179784; Reward = 24; Floor=1
Run 19: Seed=980723; Reward = 149; Floor=4
Run 20: Seed=814871; Reward = 637; Floor=13
Run 21: Seed=440119; Reward = 125; Floor=3
Run 22: Seed=127851; Reward = 207; Floor=5
Run 23: Seed=897914; Reward = 99; Floor=3
Run 24: Seed=895767; Reward = 293; Floor=7
Run 25: Seed=130494; Reward = 161; Floor=4
Run 26: Seed=750528; Reward = 81; Floor=2
Run 27: Seed=362614; Reward = 381; Floor=9
Run 28: Seed=525231; Reward = 115; Floor=3
Run 29: Seed=492704; Reward = 401; Floor=9
Run 30: Seed=977748; Reward = 24; Floor=1
Run 31: Seed=220929; Reward = 377; Floor=9
Run 32: Seed=264026; Reward = 849; Floor=19
Run 33: Seed=878927; Reward = 218; Floor=5
Run 34: Seed=531790; Reward = 233; Floor=5
Run 35: Seed=813342; Reward = 110; Floor=3
Run 36: Seed=587318; Reward = 79; Floor=2
Run 37: Seed=22745; Reward = 113; Floor=3
Run 38: Seed=928977; Reward = 907; Floor=20
Run 39: Seed=843833; Reward = 342; Floor=8
Run 40: Seed=606387; Reward = 273; Floor=6
Run 41: Seed=172589; Reward = 272; Floor=6
Run 42: Seed=173806; Reward = 318; Floor=7
Run 43: Seed=659999; Reward = 840; Floor=19
Run 44: Seed=999261; Reward = 589; Floor=13
Run 45: Seed=214307; Reward = 489; Floor=11
Run 46: Seed=177948; Reward = 240; Floor=5
Run 47: Seed=384551; Reward = 56; Floor=2
Run 48: Seed=741769; Reward = 88; Floor=2
Run 49: Seed=458030; Reward = 155; Floor=4
Run 50: Seed=949463; Reward = 525; Floor=12
Run 51: Seed=738799; Reward = 549; Floor=13
Run 52: Seed=283749; Reward = 66; Floor=2
Run 53: Seed=560354; Reward = 121; Floor=3
Run 54: Seed=620486; Reward = 255; Floor=6
Run 55: Seed=333142; Reward = 343; Floor=7
Run 56: Seed=652889; Reward = 129; Floor=3
Run 57: Seed=722327; Reward = 382; Floor=8
Run 58: Seed=874967; Reward = 122; Floor=3
Run 59: Seed=774809; Reward = 672; Floor=16
Run 60: Seed=188235; Reward = 80; Floor=2
Run 61: Seed=705887; Reward = 167; Floor=4
Run 62: Seed=453705; Reward = 464; Floor=11
Run 63: Seed=903905; Reward = 224; Floor=5
Run 64: Seed=734498; Reward = 112; Floor=3
Run 65: Seed=289351; Reward = 413; Floor=9
Run 66: Seed=923921; Reward = 204; Floor=5
Run 67: Seed=603748; Reward = 204; Floor=5
Run 68: Seed=770829; Reward = 61; Floor=2
Run 69: Seed=127858; Reward = 455; Floor=10
Run 70: Seed=455908; Reward = 287; Floor=6
Run 71: Seed=84895; Reward = 197; Floor=4
Run 72: Seed=386870; Reward = 499; Floor=11
Run 73: Seed=947330; Reward = 387; Floor=9
Run 74: Seed=816657; Reward = 458; Floor=11
Run 75: Seed=213070; Reward = 192; Floor=5
Run 76: Seed=405509; Reward = 123; Floor=3
Run 77: Seed=606080; Reward = 137; Floor=4
Run 78: Seed=994591; Reward = 457; Floor=10
Run 79: Seed=589026; Reward = 333; Floor=8
Run 80: Seed=860931; Reward = 491; Floor=10
Run 81: Seed=859331; Reward = 73; Floor=2
Run 82: Seed=506536; Reward = 263; Floor=6
Run 83: Seed=558495; Reward = 539; Floor=12
Run 84: Seed=923282; Reward = 30; Floor=1
Run 85: Seed=755317; Reward = 127; Floor=3
Run 86: Seed=372090; Reward = 304; Floor=7
Run 87: Seed=828423; Reward = 514; Floor=11
Run 88: Seed=611763; Reward = 36; Floor=1
Run 89: Seed=966940; Reward = 809; Floor=19
Run 90: Seed=813887; Reward = 512; Floor=11
Run 91: Seed=706916; Reward = 685; Floor=15
Run 92: Seed=297666; Reward = 67; Floor=2
Run 93: Seed=765888; Reward = 291; Floor=6
Run 94: Seed=60820; Reward = 193; Floor=5
Run 95: Seed=196095; Reward = 159; Floor=4
Run 96: Seed=388472; Reward = 394; Floor=10
Run 97: Seed=861714; Reward = 62; Floor=2
Run 98: Seed=713484; Reward = 224; Floor=5
Run 99: Seed=236743; Reward = 438; Floor=10
Run 100: Seed=995462; Reward = 466; Floor=10
